,player_id,player_name,team_name,accuratecrosses,accuratecrossespercentage,accuratefinalthirdpasses,accuratelongballs,accuratelongballspercentage,accuratepasses,accuratepassespercentage,aerialduelswon,aerialduelswonpercentage,age,appearances,assists,bigchancescreated,bigchancesmissed,blockedshots(defensive),blockedshots(offensive),cleansheet(gk),cleansheet(df),clearances,crossesnotclaimed,detailed_positions,dribbledpast,errorleadtogoal,errorleadtoshot,expectedassists,expectedgoals,fouls,goalconversionpercentage,goals,goalsassistssum,goalsconceded,height_cm,inaccuratepasses,interceptions,keypasses,matchesstarted,minutesplayed,offsides,passtoassist,penaltiestaken,penaltyconversion,penaltygoals,position,preferred_foot,rating,redcards,savedshotsfrominsidethebox,saves,shotsontarget,successfuldribbles,successfuldribblespercentage,tackles,totalcross,totalduelswon,totalduelswonpercentage,totallongballs,totalpasses,totalshots,wasfouled,yellowcards,position_new
120,1024204,Rio Sakuma,Geylang International,1,50,114,123,63.73,1312,90.42,35,44.3,28,25,1,0,0,18,2,0,2,52,0,DC,40,0,15,0.23,1.44,13,21.43,3,4,50,179,139,51,3,25,2250,1,0,0,0,0,D,Right,6.88,0,0,0,6,3,60,4,2,105,47.3,193,1451,14,6,5,D
121,873220,Jun Kobayashi,Young Lions,2,66.67,85,110,53.14,1127,85.9,56,63.64,26,30,0,0,1,38,1,0,1,130,0,DC,52,0,36,0.63,2.03,10,18.75,3,3,82,187,185,74,3,29,2700,1,2,0,0,0,D,Right,6.84,1,0,0,5,6,75,4,3,125,45.29,207,1312,16,4,0,D
122,1000456,Zikos Chua,Geylang International,0,0,4,1,20,76,69.72,8,29.63,23,20,0,0,0,1,2,0,0,1,0,ST,0,0,3,0.16,2.17,6,23.53,4,4,10,184,33,2,3,2,562,2,0,0,0,0,F,Right,6.77,0,0,0,7,13,68.42,0,5,41,36.94,5,109,17,9,0,F
124,1474653,Jonan Tan,Young Lions,2,40,15,4,57.14,94,75.2,1,25,18,10,1,1,0,0,1,0,0,2,0,0,12,0,3,0.8,0.56,6,0,0,1,10,0,31,9,3,5,459,2,0,0,0,0,F,Left,6.66,0,0,0,1,13,72.22,0,5,39,32.5,7,125,6,6,0,F
127,1860057,Nur Ikhwan Othman,Brunei DPMM FC,0,0,66,70,52.24,792,86.27,24,32.43,32,31,0,0,0,19,1,0,1,60,0,DC,49,0,16,0.11,0.58,23,14.29,1,1,50,173,126,44,3,27,2471,0,0,0,0,0,D,Right,6.61,0,0,0,4,8,72.73,5,1,85,34.98,134,918,7,8,4,D
128,851807,Amirul Adli Bin Azmi,Tampines Rovers,5,35.71,117,36,57.14,985,90.87,22,55,29,29,0,0,0,2,0,0,1,33,0,"DC, DL",57,0,9,0.44,0.35,20,20,1,1,28,181,99,23,3,21,2035,0,0,0,0,0,D,Right,6.6,0,0,0,3,10,90.91,10,14,71,34.8,63,1084,5,4,4,D
129,959852,Huzaifah Aziz,Geylang International,0,0,44,12,52.17,353,88.47,4,36.36,30,12,1,0,0,2,1,0,0,7,0,"MC, DM",16,0,4,0.07,0.13,14,0,0,1,18,177,46,8,3,12,876,1,2,0,0,0,M,Right,6.58,0,0,0,0,7,77.78,3,4,40,33.06,23,399,3,16,2,M
130,1480032,Danish Irfan Azman,Hougang United,3,42.86,26,14,42.42,327,81.75,12,48,26,18,1,1,0,3,0,0,2,14,0,DC,46,0,6,0.53,0.65,12,0,0,1,24,179,73,20,3,11,1082,0,0,0,0,0,D,Left,6.37,0,0,0,3,2,50,1,7,50,27.03,33,400,7,4,3,D
131,1024153,Syed Akmal,Tanjong Pagar United,5,62.5,81,88,47.57,754,82.95,29,59.18,25,30,0,0,1,19,0,0,1,73,0,DC,62,0,21,0.01,0.71,18,0,0,0,83,0,155,56,3,27,2563,2,0,0,0,0,D,0,6.28,2,0,0,2,0,0,8,8,80,35.87,185,909,4,7,4,D
133,1023999,Ensar Brunčević,Hougang United,0,0,27,32,43.24,870,89.23,85,72.03,26,19,0,0,1,20,1,0,2,67,0,DC,35,0,17,0.31,1.31,14,11.11,1,1,49,196,105,86,2,19,1710,1,0,0,0,0,D,Right,7,0,0,0,2,2,66.67,5,0,147,51.22,74,975,9,10,4,D
134,1088983,Jordan Emaviwe,Balestier Khalsa,1,14.29,92,31,59.62,712,88.67,46,69.7,24,18,0,0,1,4,5,0,1,49,0,DC,32,0,11,0.05,3.59,15,20,4,4,43,195,91,30,2,17,1620,0,1,0,0,0,D,Left,6.74,0,0,0,8,8,88.89,10,7,116,44.44,52,803,20,11,3,D
137,882681,Raihan Rahman,Tanjong Pagar United,2,33.33,32,19,38,349,82.9,4,66.67,34,12,1,0,0,6,0,0,0,13,0,"DC, DM, MC",15,0,8,0.1,0.18,12,0,0,1,20,173,72,16,2,9,979,1,0,0,0,0,M,Right,6.6,1,0,0,1,2,50,5,6,32,39.02,50,421,3,12,3,D
139,851797,Anumanthan Kumar,Lion City Sailors,0,0,56,26,66.67,421,90.93,4,40,30,21,0,0,0,2,0,0,0,5,0,"MC, DM",10,0,7,0.21,0.18,14,0,0,0,12,178,42,14,2,7,952,0,0,0,0,0,M,Right,6.58,1,0,0,1,2,66.67,4,1,32,30.48,39,463,5,4,1,M
142,1891165,Ismail Salihovic,Hougang United,0,0,62,42,61.76,428,82.31,11,28.21,21,20,0,0,1,3,5,0,0,29,0,MC,39,0,12,0,1.12,24,0,0,0,25,0,92,25,2,14,1332,0,0,0,0,0,M,0,6.55,1,0,0,3,16,66.67,17,5,87,33.85,68,520,15,12,7,M
144,1024189,Yura Indera Putera,Brunei DPMM FC,6,50,67,75,49.34,526,77.35,16,39.02,29,25,0,0,0,12,1,0,2,66,0,"DC, DR",67,0,21,0.1,0.85,21,16.67,1,1,48,183,154,66,2,24,2241,0,0,0,0,0,D,Right,6.48,0,0,0,3,5,55.56,1,12,87,32.83,152,680,6,2,6,D
145,1494208,Abdul Sisa,Brunei DPMM FC,1,16.67,11,8,44.44,80,72.07,5,26.32,34,15,0,0,0,2,0,0,0,12,0,DL,18,0,3,0.13,0.09,4,0,0,0,9,180,31,7,2,2,482,1,1,0,0,0,D,Left,6.43,0,0,0,0,1,20,4,6,18,24,18,111,2,2,2,D
146,796346,Timur Talipov,Tanjong Pagar United,2,66.67,79,102,54.55,531,79.25,18,46.15,30,22,0,0,0,16,4,0,2,75,0,DC,43,0,26,0.3,0.84,10,12.5,1,1,53,179,139,46,2,21,1864,0,0,1,100,1,D,Right,6.39,2,0,0,1,14,82.35,2,3,65,38.46,187,670,8,3,0,D
148,1386479,Syafi Hilman,Young Lions,0,0,28,8,38.1,180,77.25,4,40,22,12,0,0,0,2,0,0,0,23,0,0,30,0,9,0.08,0.1,5,0,0,0,18,0,53,19,2,6,561,0,0,0,0,0,D,0,6.32,0,0,0,0,1,100,5,4,28,27.18,21,233,2,8,0,D
150,113955,Bailey Wright,Lion City Sailors,5,41.67,104,98,60.12,1515,91.05,77,62.6,32,28,0,0,0,16,4,0,9,58,0,DC,24,0,18,0.08,3.25,24,12.9,4,4,26,184,149,52,1,28,2520,2,2,0,0,0,D,Right,7.15,1,0,0,11,3,100,1,12,159,49.69,163,1664,31,9,2,D
152,822569,Dylan Fox,Tampines Rovers,0,0,81,30,66.67,801,94.91,36,69.23,31,12,0,0,0,7,2,0,4,34,0,DC,17,0,4,0.02,0.76,8,0,0,0,11,186,43,16,1,11,1080,2,1,0,0,0,D,Right,7.04,0,0,0,2,0,0,4,1,56,45.9,45,844,10,8,1,D
153,809842,Zaiful Nizam,Hougang United,0,0,35,189,67.02,637,86.2,15,88.24,37,31,0,0,0,0,0,4,4,6,2,GK,0,0,6,0.12,0,0,0,0,0,69,174,102,27,1,30,2790,0,1,0,0,0,G,Right,7.01,0,77,121,0,1,100,0,0,19,82.61,282,739,0,4,2,GK
154,937908,Hafiz Ahmad,Balestier Khalsa,0,0,26,112,49.12,654,82.47,13,72.22,26,31,0,0,0,0,0,5,5,22,5,GK,5,0,6,0.01,0,1,0,0,0,77,173,139,55,1,31,2790,0,1,0,0,0,G,Right,6.83,0,70,118,0,2,100,1,0,20,57.14,228,793,0,0,3,GK
157,1019426,Anders Aplin,Hougang United,0,0,29,17,51.52,258,86.29,6,46.15,33,7,0,0,0,10,1,0,1,30,0,"DC, DR",13,0,7,0.11,0.74,6,0,0,0,18,180,41,12,1,7,630,0,0,0,0,0,D,Right,6.64,0,0,0,0,0,0,3,0,20,32.26,33,299,5,0,2,D
161,1652040,Ryu Hardy bin Yussri,Young Lions,2,25,31,14,58.33,161,80.1,7,38.89,20,11,0,0,0,3,1,0,0,6,0,MC,15,0,2,0.14,0.23,13,0,0,0,15,0,40,7,1,5,549,0,0,0,0,0,M,0,6.57,0,0,0,4,3,50,5,8,38,34.55,24,201,10,10,3,M
165,1190527,Pathy Malumandsoko,Tanjong Pagar United,0,0,31,36,61.02,351,91.17,8,53.33,25,10,0,0,1,8,1,0,0,17,0,DC,16,0,13,0.05,0.82,3,0,0,0,29,185,34,27,1,10,900,0,0,0,0,0,D,Left,6.52,0,0,0,0,2,66.67,5,0,51,46.79,59,385,2,2,0,D
166,1857263,Faris Hasić,Hougang United,0,0,63,47,44.34,698,84.71,30,54.55,22,17,1,1,0,14,0,0,2,33,0,DC,42,0,8,0.35,0.43,23,0,0,1,42,189,126,30,1,17,1530,1,0,0,0,0,D,Left,6.52,0,0,0,0,4,66.67,4,2,99,39.76,106,824,3,6,3,D
171,1568071,Muhammad Hanif Farhan Azman,Brunei DPMM FC,0,0,20,9,64.29,147,83.05,4,23.53,24,21,0,0,0,1,0,0,0,11,0,"MC, DM",21,0,3,0.01,0.15,7,0,0,0,13,0,30,7,1,2,693,0,0,0,0,0,M,0,6.47,1,0,0,1,6,85.71,2,4,35,35.71,14,177,3,2,2,M
172,983853,Hanif Hamir,Brunei DPMM FC,1,100,9,13,35.14,250,83.06,22,50,28,18,0,0,0,10,0,0,0,24,0,DC,21,0,15,0.17,0.14,6,0,0,0,20,184,51,23,1,7,961,0,0,0,0,0,D,Right,6.46,0,0,0,0,0,0,7,1,50,43.1,37,301,2,4,1,D
175,1117809,Nazhiim Harman,Hougang United,1,50,44,15,46.88,411,87.08,12,40,26,18,0,0,0,4,1,0,1,26,0,"DC, DL",40,0,10,0.23,0.69,14,33.33,1,1,29,176,61,25,1,12,1216,0,0,0,0,0,D,Right,6.42,0,0,0,1,1,25,7,2,45,30,32,472,3,3,4,D
